Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,MethodHistories,N-Authors,Churn,Stmt_Added,Stmt_Deleted,Total_MethodHistories,Total_N-Authors,Total_Churn,Total_Stmt_Added,Total_Stmt_Deleted,isBuggy
4.1.1,3,2013-01-16,BufferedChannel.java,BufferedChannel,org.apache.bookkeeper.bookie.BufferedChannel.write(ByteBuffer),24,5,1,2,5,5,2,1,0,0,0,0,0,0,1,1,168,168,0,False
4.1.1,3,2013-01-16,SubscriptionDataManager.java,SubscriptionDataManager,org.apache.hedwig.server.meta.SubscriptionDataManager.isPartialUpdateSupported(),0,0,0,0,1,0,0,1,0,1,1,10,9,1,1,1,10,9,1,False
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionState.Builder.java,PubSubProtocol.SubscriptionState.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionState.Builder.create(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionEventResponse.Builder.java,PubSubProtocol.SubscriptionEventResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse.Builder.clearEvent(),6,4,0,0,1,0,0,1,0,2,1,4,2,2,2,1,4,2,2,False
4.1.1,3,2013-01-16,PubSubServer.java,PubSubServer,"org.apache.hedwig.server.netty.PubSubServer.initializeNetty(SslServerContextFactory, Map, SubscriptionChannelManager)",14,11,3,4,3,2,0,1,0,2,1,12,8,4,2,1,12,8,4,False
4.1.1,3,2013-01-16,HubLoad.java,HubLoad,org.apache.hedwig.server.topics.HubLoad.equals(Object),6,2,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.Map.Entry.Builder.java,PubSubProtocol.Map.Entry.Builder,org.apache.hedwig.protocol.PubSubProtocol.Map.Entry.Builder.setValue(com.google.protobuf.ByteString),9,5,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,HubInfo.java,HubInfo,org.apache.hedwig.server.topics.HubInfo.parse(String),32,7,1,6,6,7,3,1,2,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,SubscribeHandler.java,SubscribeHandler,"org.apache.hedwig.server.handlers.SubscribeHandler.operationFailed(Object, PubSubException)",3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,DataFormats.CookieFormat.Builder.java,DataFormats.CookieFormat.Builder,org.apache.bookkeeper.proto.DataFormats.CookieFormat.Builder.hasInstanceId(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,Journal.LastLogMark.java,Journal.LastLogMark,org.apache.bookkeeper.bookie.Journal.LastLogMark.getTxnLogId(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,AbstractConfiguration.java,AbstractConfiguration,org.apache.bookkeeper.conf.AbstractConfiguration.loadConf(AbstractConfiguration),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
